Candidate,Score,Decision,Reason
Independent Fire Safety Services,93,Selected,Active specialist company; structured compliance and reminder opportunity
Creative Lifts,90,Selected,24/7 lift service; strong urgent-versus-maintenance routing opportunity
T.J. Plant & Tool Hire,92,Selected,25+ years; very broad stock and outdated enquiry journey
Cannock Sound,91,Selected,Large production scope; generic form misses event specification
IDES Electrical Services,94,Selected,Nationwide growing contractor; strong multi-site CRM opportunity
MG Drainage,93,Selected,Established 2000; broad emergency and planned service split
Mobile Vet Referral,78,Rejected,Active niche service but less visible scale and affordability evidence
Austin & Co Accountants,72,Rejected,Very outdated website but insufficient visible team/scale evidence
Waterwide,86,Rejected,Strong company but water-compliance category has already been heavily contacted
Natta Plant,84,Rejected,"Commercially strong, but current site/news and fleet presentation reduce urgency"
Thames Fire,79,Rejected,"Active, but less visible scale than selected fire-compliance prospect"
Direct Contact Lifts,80,Rejected,Specialist technical-support niche has a narrower lead-generation case
