Business name,Normalised root domain,Score,Reason
Industrial Cleaning Contractors,industrial-clean.co.uk,0,prior sent email and follow-up draft
DBL Door Solutions,dbldoorsltd.co.uk,0,prior sent email and follow-up draft
Elite Water Treatment,elitewatertreatment.co.uk,68,legal-entity match was ambiguous
R Perkins & Sons,rperkinsandsons.co.uk,78,Rolls offered a clearer PPM and stock-risk journey
Controlled Cooling,controlledcooling.com,77,weaker differentiated demo opportunity
Prima Fire & Security,primafireandsecurity.co.uk,79,Thor offered broader fire-system routing
Strata Fire Protection,stratafire.co.uk,76,current journey already relatively modern
Universal Lift Repairs,universalliftrepairs.co.uk,80,Academy had stronger nationwide estate opportunity
Day Plant Hire,dayplanthire.co.uk,77,Hire Depot had clearer logistics and trade-account signals
Byfield Services,byfieldservices.co.uk,75,weaker public commercial evidence
DACT Fire & Security,dact-fire-security.co.uk,78,current service pages already conversion focused
Limitless Event Production,limitlesseventproduction.co.uk,79,EPS had stronger verified legal and operational evidence
