Business,Recipient,First subject,First message id,First Gmail URL,Follow-up subject,Follow-up message id,Follow-up Gmail URL,Status
Batt Laboratories,admin@battlab.com,A clearer sample-submission route,19fd227563c8dd51,https://mail.google.com/mail/#all/19fd227563c8dd51,Re: A clearer sample-submission route,19fd227978183136,https://mail.google.com/mail/#all/19fd227978183136,Both drafts created; unsent; follow-up is standalone Re: draft
CAP Electrical,info@capelectrical.co.uk,CAP — project brief idea,19fd227cf7c0dbf2,https://mail.google.com/mail/#all/19fd227cf7c0dbf2,Re: CAP — project brief idea,19fd22809dbb5796,https://mail.google.com/mail/#all/19fd22809dbb5796,Both drafts created; unsent; follow-up is standalone Re: draft
Industrial Cleansing Services,enquiries@ics-kent.co.uk,A faster industrial-cleaning brief,19fd2283a83e6552,https://mail.google.com/mail/#all/19fd2283a83e6552,Re: A faster industrial-cleaning brief,19fd2286923dc6af,https://mail.google.com/mail/#all/19fd2286923dc6af,Both drafts created; unsent; follow-up is standalone Re: draft
Tri-Bond Roofing,info@tri-bondroofing.co.uk,Tri-Bond roof survey idea,19fd228adc76643c,https://mail.google.com/mail/#all/19fd228adc76643c,Re: Tri-Bond roof survey idea,19fd228f00954157,https://mail.google.com/mail/#all/19fd228f00954157,Both drafts created; unsent; follow-up is standalone Re: draft
UK Fire Protection,admin@uk-fireltd.com,"Fire enquiries, sorted by urgency",19fd2291f4c05d90,https://mail.google.com/mail/#all/19fd2291f4c05d90,"Re: Fire enquiries, sorted by urgency",19fd229595f79058,https://mail.google.com/mail/#all/19fd229595f79058,Both drafts created; unsent; follow-up is standalone Re: draft
National Pump Services,enquiries@nationalpumpservices.co.uk,A better pump-fault intake,19fd22985619022c,https://mail.google.com/mail/#all/19fd22985619022c,Re: A better pump-fault intake,19fd229c7c907370,https://mail.google.com/mail/#all/19fd229c7c907370,Both drafts created; unsent; follow-up is standalone Re: draft
Automatic Access,sales@automaticaccess.co.uk,Automatic Access — fault routing,19fd22a074ad0216,https://mail.google.com/mail/#all/19fd22a074ad0216,Re: Automatic Access — fault routing,19fd22a34a11d83d,https://mail.google.com/mail/#all/19fd22a34a11d83d,Both drafts created; unsent; follow-up is standalone Re: draft
Pro Drainage,info@prodrainage.co.uk,Pro Drainage — emergency or survey,19fd22a5f3d50bf2,https://mail.google.com/mail/#all/19fd22a5f3d50bf2,Re: Pro Drainage — emergency or survey,19fd22a9f673922e,https://mail.google.com/mail/#all/19fd22a9f673922e,Both drafts created; unsent; follow-up is standalone Re: draft
UKFM Warehousing,info@ukfmwarehousing.co.uk,A clearer warehouse capacity brief,19fd22ae77a14cf5,https://mail.google.com/mail/#all/19fd22ae77a14cf5,Re: A clearer warehouse capacity brief,19fd22b212a1d84b,https://mail.google.com/mail/#all/19fd22b212a1d84b,Both drafts created; unsent; follow-up is standalone Re: draft
WicksLX,hello@wickslx.com,WicksLX — show brief idea,19fd22b4e8e5d63c,https://mail.google.com/mail/#all/19fd22b4e8e5d63c,Re: WicksLX — show brief idea,19fd22b7d912718e,https://mail.google.com/mail/#all/19fd22b7d912718e,Both drafts created; unsent; follow-up is standalone Re: draft
