Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
M&P Electrics,m p electrics,https://www.mpeservice.co.uk/,mpeservice.co.uk,United Kingdom,Not independently verified in this run,"Industrial batteries, chargers and electrical support",info@mpeservice.co.uk,Relevant industrial battery service team,General business inbox,+44 7831 232811,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/mp-electrics-industrial-batteries,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/mp-electrics-industrial-batteries/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,88,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Battery health and charger-fault triage before engineer response."
All BMS,all bms,https://www.allbms.co.uk/,allbms.co.uk,United Kingdom,Not independently verified in this run,Building management systems,contact@allbms.co.uk,Relevant BMS projects team,General business inbox,020 8088 4217,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/all-bms,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/all-bms/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,93,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Route BMS enquiries by platform, estate size and intended outcome."
DWAS Tex,dwas tex,https://dwastex.co.uk/,dwastex.co.uk,United Kingdom,Not independently verified in this run,Commercial laundry equipment and services,danish@dwastex.co.uk,Danish / commercial laundry team,Public professional contact,0333 577 0106,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/dwas-tex-commercial-laundry,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/dwas-tex-commercial-laundry/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Laundry load and equipment planner for sales, installation and breakdown enquiries."
DoorCheck Ltd,doorcheck ltd,https://www.door-check.co.uk/,door-check.co.uk,United Kingdom,Private limited company; official site references company 07509148,Fire-door inspection and compliance,info@door-check.co.uk,Fire-door compliance team,General business inbox,0208 553 3307,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/doorcheck-fire-door-inspections,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/doorcheck-fire-door-inspections/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Portfolio-based inspection and compliance-planning journey."
Fire Suppression Ltd,fire suppression ltd,https://www.firesuppression.co.uk/,firesuppression.co.uk,United Kingdom,Not independently verified in this run,Fixed fire suppression and air-sampling detection,sales@firesuppression.co.uk,Fire suppression sales team,Sales inbox,0117 960 2277,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/fire-suppression-limited,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/fire-suppression-limited/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Protected-risk selector for suppression design and service enquiries."
Sentral Lift Services,sentral lift services,https://sentralliftservices.co.uk/,sentralliftservices.co.uk,United Kingdom,Not independently verified in this run,"Lift maintenance, repair and modernisation",info@sentralliftservices.co.uk,Lift service team,General business inbox,020 7139 8414,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/sentral-lift-services,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/sentral-lift-services/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Lift response console that captures asset type, operating state, entrapment risk and contract status."
Extraction Canopy,extraction canopy,https://www.extractioncanopy.co.uk/,extractioncanopy.co.uk,United Kingdom,Not independently verified in this run,Commercial kitchen extraction,info@extractioncanopy.co.uk,Commercial extraction projects team,General business inbox,01733 230378,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/extraction-canopy,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/extraction-canopy/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Kitchen airflow and installation brief for faster feasibility and quotation."
Quest Industrial Flooring Ltd,quest industrial flooring ltd,https://questltd.co.uk/,questltd.co.uk,United Kingdom,Not independently verified in this run,Industrial resin and polished-concrete flooring,sales@questltd.co.uk,Industrial flooring sales team,Sales inbox,01925 737 369,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/quest-industrial-flooring,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/quest-industrial-flooring/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Floor specification canvas for survey-ready project requests."
Airmec Essential Services,airmec essential services,https://airmec.co.uk/,airmec.co.uk,United Kingdom,Not independently verified in this run,"Air, water and fire-damper compliance",enquiries@airmec.co.uk,Compliance services team,General business inbox,01454 275050,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/airmec-essential-services,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/airmec-essential-services/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,94,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Estate compliance calendar combining due dates, disciplines and site portfolios."
Process Control Panels Ltd,process control panels ltd,https://www.pcpltd.com/,pcpltd.com,United Kingdom,Not independently verified in this run,Industrial automation and control panels,sales@pcpltd.com,Automation projects sales team,Sales inbox,01902 329990,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending,prospects/process-control-panels,prospect-demo-batch-13 (pending publication),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/process-control-panels/,Pending public-link verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,93,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail, GitHub and outreach-log checks. Primary opportunity: Control-project configurator for engineering-ready enquiries."
