Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes,Website QA status,Link QA status
Strike Control Ltd,strike control ltd,https://www.strikecontrol.co.uk/,strikecontrol.co.uk,United Kingdom,Active private limited company 10626384,"Lightning protection, testing and surge protection",sales@strikecontrol.co.uk,Lightning protection team,Verified business contact route,01635 953533,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/strike-control,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/strike-control/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,94,Strong,"A structured risk-assessment intake could capture building use, height, existing protection and inspection due date before the first callback.",Local structural QA passed; public browser QA pending,Pending deployment
Hendon Glazing Limited,hendon glazing limited,https://www.hendonglazingltd.co.uk/,hendonglazingltd.co.uk,United Kingdom,Active private limited company 11209218,Commercial and emergency glazing,info@hendonglazingltd.co.uk,Glazing enquiries team,Verified business contact route,020 8068 0429,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/hendon-glazing,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/hendon-glazing/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"A project estimator could separate urgent make-safe work from measured commercial installations and collect dimensions, access and timing.",Local structural QA passed; public browser QA pending,Pending deployment
Automatic Sprinkler Solutions Ltd,automatic sprinkler solutions ltd,https://www.autosprinklersolutionsltd.co.uk/,autosprinklersolutionsltd.co.uk,United Kingdom,Active private limited company 07221435,"Fire sprinkler design, installation and maintenance",info@autosprinklersolutionsltd.co.uk,Sprinkler projects team,Verified business contact route,01689 885 043,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/automatic-sprinkler-solutions,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/automatic-sprinkler-solutions/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"A building-and-system planner could capture occupancy, project stage, water supply and compliance deadline before an engineer responds.",Local structural QA passed; public browser QA pending,Pending deployment
Critical Environment Solutions Ltd,critical environment solutions ltd,https://www.criticalenvironmentsolutions.co.uk/,criticalenvironmentsolutions.co.uk,United Kingdom,Active private limited company 06516748,Cleanroom consumables and garment laundry services,sales@cesltd.uk.com,Cleanroom sales team,Verified business contact route,01793 512505,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/critical-environment-solutions,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/critical-environment-solutions/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"A cleanroom programme builder could qualify site standard, garment count, wash cycle and traceability requirements.",Local structural QA passed; public browser QA pending,Pending deployment
LAB (UK) Limited,lab (uk) limited,https://www.labukltd.co.uk/,labukltd.co.uk,United Kingdom,Active private limited company 06473418,"Asbestos surveying, sampling and laboratory analysis",enquiries@labukltd.co.uk,Asbestos consultancy team,Verified business contact route,01268 590768,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/lab-uk-asbestos,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/lab-uk-asbestos/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"A dutyholder intake could identify property use, survey type, refurbishment scope, urgency and existing asbestos records.",Local structural QA passed; public browser QA pending,Pending deployment
THOR Safety Ltd,thor safety ltd,https://www.thorsafety.co.uk/,thorsafety.co.uk,United Kingdom,Active private limited company 11198343,Machine guarding and workplace safety systems,Ben@thorsafety.co.uk,Ben / workplace safety team,Verified business contact route,01384 476457,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/thor-safety,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thor-safety/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,95,Strong,"A machine-safety audit could collect machine type, hazard zone, guarding status, controls and shutdown constraints before a site visit.",Local structural QA passed; public browser QA pending,Pending deployment
SEA UK Ltd,sea uk ltd,https://www.seaukltd.co.uk/,seaukltd.co.uk,United Kingdom,Active private limited company 02689035,"Gate automation, access control and traffic barriers",sales@seaukltd.co.uk,Gate automation sales team,Verified business contact route,0121 433 3348,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/sea-uk-gate-automation,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/sea-uk-gate-automation/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"A gate specification builder could route by gate type, weight, usage, power and access-control requirement.",Local structural QA passed; public browser QA pending,Pending deployment
Cater Steel Ltd / Grease Trap Store,cater steel ltd / grease trap store,https://www.greasetrapstore.co.uk/,greasetrapstore.co.uk,United Kingdom,Active private limited company 09181140,Commercial kitchen grease-trap supply,sales@greasetrapstore.co.uk,Grease Trap Store sales team,Verified business contact route,0151 329 3000,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/grease-trap-store,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/grease-trap-store/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,87,Strong,"A guided kitchen sizing flow could qualify sink count, flow rate, meal volume and installation space before recommending a product category.",Local structural QA passed; public browser QA pending,Pending deployment
Procter Brothers Ltd,procter brothers ltd,https://www.procterbrothers.co.uk/,procterbrothers.co.uk,United Kingdom,Active private limited company 12750258,"Machine guarding, fencing contracting and fencing supply",enquiries@procterbrothers.co.uk,Procter Brothers enquiries team,Verified business contact route,02920 882 222,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/procter-brothers,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/procter-brothers/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"A division-routing portal could identify whether the need is guarding, installed fencing, materials supply or a combined industrial project.",Local structural QA passed; public browser QA pending,Pending deployment
LTC Fencing and Timber Specialist Ltd,ltc fencing and timber specialist ltd,https://www.ltcfencing.co.uk/,ltcfencing.co.uk,United Kingdom,Active private limited company SC671358,"Commercial fencing, acoustic fencing and temporary fencing",ltcfencing@gmail.com,Commercial fencing team,Verified business contact route,0131 608 5015,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-routing opportunity identified,Generated locally; deployment pending,prospects/ltc-fencing,outreach/2026-08-06-batch-16,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/ltc-fencing/,Pending deployment verification,Prepared text only — genuine thread pending after first email is sent,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,86,Moderate,"A site fencing planner could qualify use case, approximate metres, surface, access, security and required completion date.",Local structural QA passed; public browser QA pending,Pending deployment
