Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
Batt Laboratories,batt laboratories,https://battlab.com/,battlab.com,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Veterinary diagnostic laboratory,admin@battlab.com,Laboratory administration team,Verified team or general business contact,0247 632 3275,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/batt-laboratories,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/batt-laboratories/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Practice onboarding and sample-submission brief."
CAP Electrical,cap electrical,https://capelectrical.co.uk/,capelectrical.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial electrical contracting,info@capelectrical.co.uk,Commercial projects team,Verified team or general business contact,01423 457144,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/cap-electrical,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cap-electrical/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Tender and project-scoping intake."
Industrial Cleansing Services,industrial cleansing services,https://ics-kent.co.uk/,ics-kent.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Industrial and commercial cleaning,enquiries@ics-kent.co.uk,Commercial cleaning enquiries team,Verified team or general business contact,01795 890 115,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/industrial-cleansing-services,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/industrial-cleansing-services/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Site-risk and service-frequency qualification."
Tri-Bond Roofing,tri-bond roofing,https://www.tri-bondroofing.co.uk/,tri-bondroofing.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial and industrial roofing,info@tri-bondroofing.co.uk,Roofing enquiries team,Verified team or general business contact,07751 933925,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/tri-bond-roofing,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/tri-bond-roofing/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,86,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Roof-survey and evidence intake."
UK Fire Protection,uk fire protection,https://ukfireprotection.co.uk/,ukfireprotection.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Fire protection and safety services,admin@uk-fireltd.com,Fire safety enquiries team,Verified team or general business contact,020 3951 0366,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/uk-fire-protection,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-fire-protection/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Fire-service and impairment routing."
National Pump Services,national pump services,https://www.nationalpumpservices.co.uk/,nationalpumpservices.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Water and wastewater pump services,enquiries@nationalpumpservices.co.uk,Pump services enquiries team,Verified team or general business contact,0203 488 0543,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/national-pump-services,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/national-pump-services/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Pump fault-triage and parts routing."
Automatic Access,automatic access,https://www.automaticaccess.co.uk/,automaticaccess.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Automatic doors and entrance systems,sales@automaticaccess.co.uk,Automatic door sales team,Verified team or general business contact,0330 4410 666,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/automatic-access,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/automatic-access/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Door-state and security-risk triage."
Pro Drainage,pro drainage,https://prodrainage.co.uk/,prodrainage.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial drainage and septic services,info@prodrainage.co.uk,Commercial drainage team,Verified team or general business contact,0800 6118277,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/pro-drainage,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/pro-drainage/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,87,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Emergency-versus-survey drainage routing."
UKFM Warehousing,ukfm warehousing,https://www.ukfmwarehousing.co.uk/,ukfmwarehousing.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,"Warehousing, shipping and distribution",info@ukfmwarehousing.co.uk,Warehousing and distribution team,Verified team or general business contact,0208 310 5711,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/ukfm-warehousing,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/ukfm-warehousing/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Storage-volume and handling qualification."
WicksLX,wickslx,https://www.wickslx.co.uk/,wickslx.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Live event and touring production,hello@wickslx.com,Event production team,Verified team or general business contact,+44 (0)7415 963435,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build and QA complete; public verification pending,prospects/wickslx-events,Batch 11 main deployment,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/wickslx-events/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Tour and show production brief."
