Business,Score,Status,Reason
Door Maintenance Co,91,Selected,Strong industrial door triage opportunity
One Group Services,89,Selected,Broad specialist cleaning scope needs qualification
MC Refrigeration,92,Selected,Plant-critical cold-chain intake
Aqua Ease,93,Selected,Portfolio compliance and renewal journey
Thomas Fire Consultancy,90,Selected,Multiple fire duties need guided routing
Stageworks Events,84,Selected,Simple quote form versus complex production brief
Intielectric Ltd,87,Selected,Live-site and shutdown qualification
Cura Surveys,94,Selected,Multi-discipline deliverables configuration
UK Solar Services Ltd,92,Selected,Feasibility qualification and malformed public contact detail
Harlequin Pest Control,86,Selected,Multi-site and audit reporting intake
UK Legionella,0,Rejected,Prior MDA outreach found in Gmail
DBL Door Solutions,82,Rejected,Lower score than selected door specialist
CDMS,75,Rejected,Existing journey already includes strong same-day photo quotation
Rolls Refrigeration,79,Rejected,Existing site and maintenance journey already comparatively strong
Chill Rooms,78,Rejected,Existing site is polished and conversion focused
EPS Oxford,76,Rejected,Name overlap with prior EPS outreach and weaker unique-batch fit
Anthem Events,80,Rejected,Site already presents substantial proof and established journey
EventTec Production,81,Rejected,Lower opportunity than Stageworks for a new intake concept
Arch Services,82,Rejected,Cura offered a stronger multi-discipline deliverables concept
Photon Energy,80,Rejected,Existing proposition comparatively mature
Cutter Solar,79,Rejected,Existing commercial proposition already well developed
Lower Morden Equestrian,72,Rejected,Lower commercial signals than industrial shortlist
Seagold Equestrian,74,Rejected,Lower priority for this technical B2B batch
Instant Pest Control,78,Rejected,Existing site already strong and conversion focused
NationWide Laboratories,70,Rejected,Larger corporate fit and strong existing digital presence
