Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes,Website QA status,Link QA status
ICE Drainage Ltd,ice drainage ltd,https://icedrainage.co.uk/,icedrainage.co.uk,United Kingdom,Private limited company; company number 15310545 shown publicly,Commercial and industrial drainage,enquiries@icedrainage.co.uk,Relevant operational or commercial team,Verified general or service inbox,0203 376 4801,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/ice-drainage,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/ice-drainage/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,93,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Faster emergency triage.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
AngliaSolar,angliasolar,https://angliasolar.co.uk/,angliasolar.co.uk,United Kingdom,Commercial business contact route verified on the official site,Commercial solar energy,surveys@angliasolar.co.uk,Relevant operational or commercial team,Verified general or service inbox,01603 975321,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/anglia-solar,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/anglia-solar/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Better-qualified survey requests.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
Industrial Doors North West,industrial doors north west,https://idnw.co.uk/,idnw.co.uk,United Kingdom,Official business contact details verified,Industrial doors and roller shutters,info@idnw.co.uk,Relevant operational or commercial team,Verified general or service inbox,0161 864 2667,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/industrial-doors-north-west,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/industrial-doors-north-west/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Engineer-ready fault routing.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
Naylor Technical Services Ltd,naylor technical services ltd,https://ntsltd.uk/,ntsltd.uk,United Kingdom,Private limited company; company number 14473439 shown publicly,Commercial kitchen engineering,service@ntsltd.uk,Relevant operational or commercial team,Verified general or service inbox,0808 3040533,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/nts-commercial-kitchens,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/nts-commercial-kitchens/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,86,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Reduced breakdown callbacks.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
CDF Management Group Ltd,cdf management group ltd,https://cdfmgroup.co.uk/,cdfmgroup.co.uk,United Kingdom,Private limited company; company number 06823159 shown publicly,Commercial grounds maintenance,sales@cdfmgroup.co.uk,Relevant operational or commercial team,Verified general or service inbox,0121 393 4738,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/cdf-management-group,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cdf-management-group/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Easier multi-site quotation.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
Engetech Ltd,engetech ltd,https://engetech.co.uk/,engetech.co.uk,United Kingdom,Official business contact route verified,Cold-room installation and maintenance,admin@engetech.co.uk,Relevant operational or commercial team,Verified general or service inbox,07808 781202,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/engetech-cold-rooms,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/engetech-cold-rooms/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Faster technical scoping.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
UK Cabling,uk cabling,https://www.ukcabling.com/,ukcabling.com,United Kingdom,Official sales contact route verified,Data and structured cabling,sales@ukcabling.com,Relevant operational or commercial team,Verified general or service inbox,0800 009 6776,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/uk-cabling,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-cabling/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Survey-ready cabling briefs.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
Total Air Solutions Ltd,total air solutions ltd,https://totalairsolutions.co.uk/,totalairsolutions.co.uk,United Kingdom,Private limited company; current official contact details verified,Fire-damper testing and remedial work,info@totalairsolutions.co.uk,Relevant operational or commercial team,Verified general or service inbox,07497 601192,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/total-air-solutions,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/total-air-solutions/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Clearer inspection scheduling.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
RWR Commercial,rwr commercial,https://rwrcommercial.co.uk/,rwrcommercial.co.uk,United Kingdom,Official business contact route verified,Commercial waste and specialist cleaning,info@rwrcommercial.co.uk,Relevant operational or commercial team,Verified general or service inbox,020 8519 5622,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/rwr-commercial,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/rwr-commercial/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Better-qualified waste enquiries.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
UK Pump Maintenance,uk pump maintenance,https://ukpumpmaintenance.com/,ukpumpmaintenance.com,United Kingdom,Public professional contact route verified; Gmail address is displayed by the business,Water and wastewater pump maintenance,ukpumps@gmail.com,Relevant operational or commercial team,Verified general or service inbox,07368 368859,2026-08-06,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; signed-out HTTPS verification passed,prospects/uk-pump-maintenance,Batch 15 publication workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-pump-maintenance/,Created in Gmail; not sent,Prepared text only — genuine thread pending after first email is sent,Drafted in Gmail; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available connected checks,,84,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found. Primary opportunity: Faster breakdown assessment.",Static QA passed; public URL and thank-you page verified,Prospect demo and MDA website links verified
