Business,Reason
UK Legionella,Prior MDA outreach found in Gmail
DBL Door Solutions,Lower score than selected door specialist
CDMS,Existing journey already includes strong same-day photo quotation
Rolls Refrigeration,Existing site and maintenance journey already comparatively strong
Chill Rooms,Existing site is polished and conversion focused
EPS Oxford,Name overlap with prior EPS outreach and weaker unique-batch fit
Anthem Events,Site already presents substantial proof and established journey
EventTec Production,Lower opportunity than Stageworks for a new intake concept
Arch Services,Cura offered a stronger multi-discipline deliverables concept
Photon Energy,Existing proposition comparatively mature
Cutter Solar,Existing commercial proposition already well developed
Lower Morden Equestrian,Lower commercial signals than industrial shortlist
Seagold Equestrian,Lower priority for this technical B2B batch
Instant Pest Control,Existing site already strong and conversion focused
NationWide Laboratories,Larger corporate fit and strong existing digital presence
