Business,Decision,Score,Industry,Reason,Commercial capability
Independent Pest Control & Hygiene Services,Selected,92,Commercial pest and hygiene,"Active company, national commercial contracts, generic intake",Strong
Contact Power,Selected,91,Temporary power,"Broad generator/event/emergency offer, weak specification intake",Strong
KD Doors Ltd,Selected,94,Industrial doors,UK-wide 24/7 service; material fault-routing opportunity,Strong
Pro Laundry & Catering Services,Selected,93,Commercial equipment,National multi-service lifecycle offer; fragmented generic forms,Strong
Cytopath Veterinary Pathology,Selected,94,Veterinary diagnostics,Independent specialist laboratory; document-led onboarding journey,Strong
Alpha Pumping Solutions,Selected,95,Pump engineering,Commercial projects; visible template remnants and generic intake,Strong
The Generator Company,Rejected,82,Power generation,Official contact page explicitly says solicitation emails are automatically deleted,Strong
MEMS Power Generation,Rejected,84,Generator hire,Well-developed emergency/planned enquiry and multiple depots; smaller improvement opportunity,Strong
WASHCO,Rejected,83,Commercial laundry,"Modern national site, mature service software and strong routing already visible",Strong
PDS Solutions,Rejected,84,Commercial laundry,"Modern conversion-focused website, detailed service routes and case studies",Strong
BattLab,Rejected,85,Veterinary diagnostics,"Current site with courier booking, recent news and clear national workflow",Strong
SolaraConnect,Rejected,83,Commercial solar O&M,"Modern, focused, conversion-led website already presents packages and consultation path",Moderate/Strong
