Business,Domain,Website,Industry,Location,Legal/subscriber type,Email,Phone,Score,Capability,Decision,Reason,Duplicate/suppression
Strike Control Ltd,strikecontrol.co.uk,https://www.strikecontrol.co.uk/,"Lightning protection, testing and surge protection","Newbury, Berkshire",Active private limited company 10626384,sales@strikecontrol.co.uk,01635 953533,94,Strong,Selected,"A structured risk-assessment intake could capture building use, height, existing protection and inspection due date before the first callback.",No Gmail or GitHub match found; no known suppression
Hendon Glazing Limited,hendonglazingltd.co.uk,https://www.hendonglazingltd.co.uk/,Commercial and emergency glazing,"Hendon, London",Active private limited company 11209218,info@hendonglazingltd.co.uk,020 8068 0429,89,Strong,Selected,"A project estimator could separate urgent make-safe work from measured commercial installations and collect dimensions, access and timing.",No Gmail or GitHub match found; no known suppression
Automatic Sprinkler Solutions Ltd,autosprinklersolutionsltd.co.uk,https://www.autosprinklersolutionsltd.co.uk/,"Fire sprinkler design, installation and maintenance","Orpington, Kent",Active private limited company 07221435,info@autosprinklersolutionsltd.co.uk,01689 885 043,91,Strong,Selected,"A building-and-system planner could capture occupancy, project stage, water supply and compliance deadline before an engineer responds.",No Gmail or GitHub match found; no known suppression
Critical Environment Solutions Ltd,criticalenvironmentsolutions.co.uk,https://www.criticalenvironmentsolutions.co.uk/,Cleanroom consumables and garment laundry services,"Swindon, Wiltshire",Active private limited company 06516748,sales@cesltd.uk.com,01793 512505,90,Strong,Selected,"A cleanroom programme builder could qualify site standard, garment count, wash cycle and traceability requirements.",No Gmail or GitHub match found; no known suppression
LAB (UK) Limited,labukltd.co.uk,https://www.labukltd.co.uk/,"Asbestos surveying, sampling and laboratory analysis","Basildon, Essex",Active private limited company 06473418,enquiries@labukltd.co.uk,01268 590768,92,Strong,Selected,"A dutyholder intake could identify property use, survey type, refurbishment scope, urgency and existing asbestos records.",No Gmail or GitHub match found; no known suppression
THOR Safety Ltd,thorsafety.co.uk,https://www.thorsafety.co.uk/,Machine guarding and workplace safety systems,"Brierley Hill, West Midlands",Active private limited company 11198343,Ben@thorsafety.co.uk,01384 476457,95,Strong,Selected,"A machine-safety audit could collect machine type, hazard zone, guarding status, controls and shutdown constraints before a site visit.",No Gmail or GitHub match found; no known suppression
SEA UK Ltd,seaukltd.co.uk,https://www.seaukltd.co.uk/,"Gate automation, access control and traffic barriers","Kings Norton, Birmingham",Active private limited company 02689035,sales@seaukltd.co.uk,0121 433 3348,90,Strong,Selected,"A gate specification builder could route by gate type, weight, usage, power and access-control requirement.",No Gmail or GitHub match found; no known suppression
Cater Steel Ltd / Grease Trap Store,greasetrapstore.co.uk,https://www.greasetrapstore.co.uk/,Commercial kitchen grease-trap supply,"Heswall, Wirral",Active private limited company 09181140,sales@greasetrapstore.co.uk,0151 329 3000,87,Strong,Selected,"A guided kitchen sizing flow could qualify sink count, flow rate, meal volume and installation space before recommending a product category.",No Gmail or GitHub match found; no known suppression
Procter Brothers Ltd,procterbrothers.co.uk,https://www.procterbrothers.co.uk/,"Machine guarding, fencing contracting and fencing supply","Bedwas, Caerphilly",Active private limited company 12750258,enquiries@procterbrothers.co.uk,02920 882 222,88,Strong,Selected,"A division-routing portal could identify whether the need is guarding, installed fencing, materials supply or a combined industrial project.",No Gmail or GitHub match found; no known suppression
LTC Fencing and Timber Specialist Ltd,ltcfencing.co.uk,https://www.ltcfencing.co.uk/,"Commercial fencing, acoustic fencing and temporary fencing","Livingston, West Lothian",Active private limited company SC671358,ltcfencing@gmail.com,0131 608 5015,86,Moderate,Selected,"A site fencing planner could qualify use case, approximate metres, surface, access, security and required completion date.",No Gmail or GitHub match found; no known suppression
