Business,Domain,Score,Status,Reason
M&P Electrics,mpeservice.co.uk,88,Selected,Battery health and charger-fault triage before engineer response.
All BMS,allbms.co.uk,93,Selected,"Route BMS enquiries by platform, estate size and intended outcome."
DWAS Tex,dwastex.co.uk,89,Selected,"Laundry load and equipment planner for sales, installation and breakdown enquiries."
DoorCheck Ltd,door-check.co.uk,91,Selected,Portfolio-based inspection and compliance-planning journey.
Fire Suppression Ltd,firesuppression.co.uk,92,Selected,Protected-risk selector for suppression design and service enquiries.
Sentral Lift Services,sentralliftservices.co.uk,90,Selected,"Lift response console that captures asset type, operating state, entrapment risk and contract status."
Extraction Canopy,extractioncanopy.co.uk,90,Selected,Kitchen airflow and installation brief for faster feasibility and quotation.
Quest Industrial Flooring Ltd,questltd.co.uk,91,Selected,Floor specification canvas for survey-ready project requests.
Airmec Essential Services,airmec.co.uk,94,Selected,"Estate compliance calendar combining due dates, disciplines and site portfolios."
Process Control Panels Ltd,pcpltd.com,93,Selected,Control-project configurator for engineering-ready enquiries.
The Generator Company,generatorcompany.co.uk,—,Rejected,Official site expressly asks that published email addresses not be used to solicit business.
UPS Power Ltd,upspower.co.uk,83,Rejected,"Current website and quotation journey appeared comparatively polished, weakening a website-demo pitch."
Medical Gas Pipelines,medicalgaspipelines.co.uk,—,Rejected,Existing MDA prospect folder/history found in the repository.
Laundry Fix,laundryfix.co.uk,76,Rejected,Previously rejected and weaker visible commercial capability than selected commercial-laundry prospect.
WASHCO,washco.co.uk,84,Rejected,Developed national provider with a stronger existing digital presence than the selected alternative.
JM Lift Services,jmliftservices.co.uk,84,Rejected,"Good fit, but lower differentiation and contact-quality evidence than Sentral Lift Services."
DR Fire Door Consultants,drfiredoorconsultants.co.uk,83,Rejected,Category overlap and lower visible scale than DoorCheck.
CSR Catering Repairs,csrcatering.co.uk,82,Rejected,Category overlap with earlier catering-service batches and weaker unique workflow opportunity.
PSR Industrial Flooring,psrindustrialflooring.co.uk,85,Rejected,Quest provided stronger visible breadth and a clearer specification-led concept.
Coolsparks,coolsparks.co.uk,84,Rejected,Refrigeration/HVAC category already heavily represented in earlier outreach history.
