Business,Website,Industry,Location,Score,Decision,Commercial capability,Reason / opportunity
Ventilation Hygiene Specialists Ltd,https://www.vhs.uk.com/,"Ventilation hygiene, fire damper and LEV compliance",Middlesbrough; UK-wide commercial sites,94,Selected,Strong,"The official site confirms a broad compliance-led service range but presents a dated 2013-era journey centred on phone and email, without a visible structured survey form for site type, system scale, access, last clean/test date, reporting needs or multi-site work."
Compressor Maintenance Systems Ltd,https://www.cms-ltd.org/,"Compressed-air, vacuum and nitrogen systems","Kent; UK-wide sales, installation and servicing",91,Selected,Strong,"CMS presents a large technical range and direct-sales shop, but its main contact form only asks for name, email, phone and a message. It does not visibly capture asset details, pressure/capacity, production impact, air-quality requirements, fault status or the difference between parts, service and new-system enquiries."
Medical Gas Pipelines Ltd,https://www.medicalgaspipelines.com/,Medical and laboratory gas pipeline systems,Romsey; UK and Channel Islands,96,Selected,Strong,"The official site confirms specialist design, maintenance, quality-control and emergency work, but it also contains duplicated sections, Lorem Ipsum placeholder text, repeated forms and visible error messaging. The forms remain general and do not qualify facility type, gas services, project stage, continuity constraints or documents."
Niveus Ltd,https://www.niveusltd.com/,Fibre-optic and structured data cabling,Berkshire; UK-wide commercial projects,90,Selected,Strong,"Niveus describes nationwide copper and fibre capability, but the website remains a thin four-page experience with a 2018 footer and a basic name/email/telephone/message form. It does not visibly collect project type, site count, outlet/link quantity, building status, testing standard, drawings or programme dates."
Industrial Boiler Services (UK) Ltd,https://www.industrialboilerservices.com/,"Commercial and industrial boiler, steam and hot-water systems",Suffolk; South East and Greater London,89,Selected,Strong,"The current site has strong service depth and a category-led form, but the visible enquiry journey does not clearly capture plant type, fuel, output/pressure, current operating status, process criticality, temporary-hire dates or access/shutdown constraints before routing the enquiry."
Dust Systems Ltd,https://www.dustsystems.co.uk/,Industrial dust extraction and wood-waste systems,Harrow; projects across the United Kingdom,93,Selected,Strong,"Dust Systems shows a wide, high-value engineering range, but the main contact form is generic and its consultation page is framed as an appointment/invoice deposit with spelling errors. It does not visibly qualify process, material, machines, airflow, ATEX/spark risk, system status, drawings or project stage."
Dustraction,https://www.dustraction.co.uk/,Industrial dust and fume extraction,United Kingdom,84,Rejected,Strong/Moderate,"Rejected: polished modern site, strong engineering positioning and clearer conversion journey."
Airmatic Ltd,https://www.airmatic.co.uk/,Industrial extraction and material handling,United Kingdom,82,Rejected,Strong/Moderate,Rejected: strong modern sector pages and clear quote route; smaller marginal opportunity.
Fibrelec Ltd,https://www.fibrelec.com/,Fibre and data cabling,United Kingdom,83,Rejected,Strong/Moderate,"Rejected: established multi-office site, accreditations and clear quote journey; Niveus offered a stronger redesign opportunity."
Hemway Group,https://www.hemway.uk.com/,Commercial EV charging,United Kingdom,80,Rejected,Strong/Moderate,"Rejected: focused, modern commercial EV site with clear consultation calls to action."
Cleanair UK,https://cleanairuk.co.uk/,"Ventilation, water and fire hygiene",United Kingdom,81,Rejected,Strong/Moderate,"Rejected: mature multi-service site with offices, accreditations and a stated response process."
Nationwide Data Cabling,https://www.nationwidedatacabling.co.uk/,Commercial network cabling,United Kingdom,79,Rejected,Strong/Moderate,"Rejected: modern SEO-led site with strong service areas, surveys and commercial-only positioning."
