Candidate #,Business,Root domain,Industry,Operating evidence,Legal/subscriber type,Subscriber classification,Contact,Score,Commercial capability,Primary opportunity,Duplicate/history result,Decision,Reason,Source 1,Source 2
1,ICE Drainage Ltd,icedrainage.co.uk,Commercial and industrial drainage,Current official website/contact route reviewed or existing Batch 15 verification retained,Private limited company; company number 15310545 shown publicly,Corporate subscriber,enquiries@icedrainage.co.uk,93,Strong,Faster emergency triage,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; sending remains locked by MDA readiness,https://icedrainage.co.uk/,Existing GitHub Batch 15 verification and outreach log
2,AngliaSolar,angliasolar.co.uk,Commercial solar energy,Current official website/contact route reviewed or existing Batch 15 verification retained,Official site describes the business as a private partnership,Individual subscriber,surveys@angliasolar.co.uk,91,Strong,Better-qualified survey requests,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,"Selected previously, now blocked by compliance revalidation",Ineligible for unsolicited email without documented consent or another PECR exception,https://angliasolar.co.uk/,Existing GitHub Batch 15 verification and outreach log
3,Industrial Doors North West,idnw.co.uk,Industrial doors and roller shutters,Current official website/contact route reviewed or existing Batch 15 verification retained,"Family-run, VAT-registered business; exact legal entity not resolved",Unknown,info@idnw.co.uk,90,Strong,Engineer-ready fault routing,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,"Selected previously, now blocked by compliance revalidation",Ineligible until corporate subscriber status is resolved,https://idnw.co.uk/,Existing GitHub Batch 15 verification and outreach log
4,Naylor Technical Services Ltd,ntsltd.uk,Commercial kitchen engineering,Current official website/contact route reviewed or existing Batch 15 verification retained,Private limited company; company number 14473439 shown publicly,Corporate subscriber,service@ntsltd.uk,86,Moderate,Reduced breakdown callbacks,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; sending remains locked by MDA readiness,https://ntsltd.uk/,Existing GitHub Batch 15 verification and outreach log
5,CDF Management Group Ltd,cdfmgroup.co.uk,Commercial grounds maintenance,Current official website/contact route reviewed or existing Batch 15 verification retained,Private limited company; company number 06823159 shown publicly,Corporate subscriber,sales@cdfmgroup.co.uk,89,Strong,Easier multi-site quotation,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; sending remains locked by MDA readiness,https://cdfmgroup.co.uk/,Existing GitHub Batch 15 verification and outreach log
6,Engetech Ltd,engetech.co.uk,Cold-room installation and maintenance,Current official website/contact route reviewed or existing Batch 15 verification retained,Official website trades as Engetech Ltd; exact company number not independently resolved,Corporate subscriber,admin@engetech.co.uk,92,Strong,Faster technical scoping,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; recheck exact legal entity before sending,https://engetech.co.uk/,Existing GitHub Batch 15 verification and outreach log
7,UK Cabling,ukcabling.com,Data and structured cabling,Current official website/contact route reviewed or existing Batch 15 verification retained,"Current trading site and sales route found, but no reliable active legal-entity match was established; similarly named Companies House entities found were dissolved",Unknown,sales@ukcabling.com,91,Strong,Survey-ready cabling briefs,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,"Selected previously, now blocked by compliance revalidation",Ineligible until corporate subscriber status and legal entity are resolved,https://www.ukcabling.com/,Existing GitHub Batch 15 verification and outreach log
8,Total Air Solutions Ltd,totalairsolutions.co.uk,Fire-damper testing and remedial work,Current official website/contact route reviewed or existing Batch 15 verification retained,Private limited company; current official business contact details verified,Corporate subscriber,info@totalairsolutions.co.uk,90,Strong,Clearer inspection scheduling,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; sending remains locked by MDA readiness,https://totalairsolutions.co.uk/,Existing GitHub Batch 15 verification and outreach log
9,RWR Commercial,rwrcommercial.co.uk,Commercial waste and specialist cleaning,Current official website/contact route reviewed or existing Batch 15 verification retained,Official site identifies Regional Waste Recycling (Commercial) Ltd,Corporate subscriber,info@rwrcommercial.co.uk,88,Strong,Better-qualified waste enquiries,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,Selected—compliance eligible,Eligible for preparation only; sending remains locked by MDA readiness,https://rwrcommercial.co.uk/,Existing GitHub Batch 15 verification and outreach log
10,UK Pump Maintenance,ukpumpmaintenance.com,Water and wastewater pump maintenance,Current official website/contact route reviewed or existing Batch 15 verification retained,Public professional contact route found; exact legal/subscriber type not resolved,Unknown,ukpumps@gmail.com,84,Moderate,Faster breakdown assessment,No pre-2026-08-06 Gmail contact found for selected address; Batch 15 drafts now exist,"Selected previously, now blocked by compliance revalidation",Ineligible until corporate subscriber status is resolved,https://ukpumpmaintenance.com/,Existing GitHub Batch 15 verification and outreach log
11,The Generator Company,thegeneratorcompany.co.uk,Generator sales/service,Reviewed during current or prior connected checks,Not required after rejection reason established,Not selected,,,,,Official-site anti-solicitation notice,Rejected,Official-site anti-solicitation notice,Official site,
