Business,Domain,Score,Status,Reason
The Generator Company,generatorcompany.co.uk,—,Rejected,Official site expressly asks that published email addresses not be used to solicit business.
UPS Power Ltd,upspower.co.uk,83,Rejected,"Current website and quotation journey appeared comparatively polished, weakening a website-demo pitch."
Medical Gas Pipelines,medicalgaspipelines.co.uk,—,Rejected,Existing MDA prospect folder/history found in the repository.
Laundry Fix,laundryfix.co.uk,76,Rejected,Previously rejected and weaker visible commercial capability than selected commercial-laundry prospect.
WASHCO,washco.co.uk,84,Rejected,Developed national provider with a stronger existing digital presence than the selected alternative.
JM Lift Services,jmliftservices.co.uk,84,Rejected,"Good fit, but lower differentiation and contact-quality evidence than Sentral Lift Services."
DR Fire Door Consultants,drfiredoorconsultants.co.uk,83,Rejected,Category overlap and lower visible scale than DoorCheck.
CSR Catering Repairs,csrcatering.co.uk,82,Rejected,Category overlap with earlier catering-service batches and weaker unique workflow opportunity.
PSR Industrial Flooring,psrindustrialflooring.co.uk,85,Rejected,Quest provided stronger visible breadth and a clearer specification-led concept.
Coolsparks,coolsparks.co.uk,84,Rejected,Refrigeration/HVAC category already heavily represented in earlier outreach history.
