Candidate,Domain,Score,Decision,Reason
Edge Technology Power,edgetechnology.co.uk,92,Selected,Generator fault and project-intake triage
Air Compressors & Equipment Ltd,aircompressorequipment.co.uk,91,Selected,Compressed-air fault qualification
Portcullis Site Services,portcullis-site-services.co.uk,90,Selected,Industrial-door and loading-bay fault routing
Loading Bay Service,rampsales.co.uk,89,Selected,Loading-bay survey qualification
The Racking Installation Company,rackinginstallationcompany.co.uk,90,Selected,Racking project and damage intake
Independent Forklift Services (Midlands),iforklifts.co.uk,86,Selected,Forklift breakdown triage
Capital Water Treatment,capitalwater.co.uk,93,Selected,Water-treatment project and service qualification
SRC Catering Services,srccateringservices.co.uk,87,Selected,Commercial kitchen breakdown triage
J Child Commercial,jchildcommercial.co.uk,90,Selected,Commercial boiler and plant-room intake
Shield Pest Management,shieldpest.co.uk,88,Selected,Audit-ready commercial contract onboarding
Independent Pest Control,independentpestcontrol.co.uk,,Rejected,Prior sent MDA outreach and follow-up draft found in Gmail
Laundry Fix,laundryfix.co.uk,78,Rejected,Commercial capability evidence weaker than selected ten
I&A Ventilation,iaventilation.co.uk,80,Rejected,Good fit but lower visible scale and proof than selected ten
Pearce Services,pearce-services.co.uk,79,Rejected,Good niche but weaker contact and scale evidence
Trident Environmental,tridentes.co.uk,84,Rejected,Strong business but overlaps Capital Water in this batch
